transaction_id,date,user_id,country,city,product_id,category_x,subcategory,unit_price,quantity,discount_code,payment_type,device,channel,referrer,is_return,return_date,status,notes,revenue,coupon_value,shipping_cost,product_name,category_y,yyyy_mm,net_amount
g9Noyiwrslol,2025-08-09 23:43:02,508,CA,Toronto,1281,Beauté,Cheveux,34.16,1.0,BLACKFRIDAY,paypal,desktop,web,friend,0,,refunded,,34.16,,,Cheveux 2,Beauté,2025-08,34.16
FqN9bUAEkgPg,2025-09-28 14:37:40,213,US,Seattle,1273,Beauté,Maquillage,24.66,5.0,,interac,mobile,web,friend,0,,paid,,123.3,,,Maquillage 14,Beauté,2025-09,123.3
Ol4yoc1pzFdI,2025-09-06 17:00:55,877,US,San Francisco,1091,Maison,Décoration,39.82,5.0,BLACKFRIDAY,paypal,tablet,web,instagram,0,,paid,"Promo appliquée, vérifier le cumul",199.1,,,Décoration 12,Maison,2025-09,199.1
xW9kNhrcSfuu,2025-08-24 06:38:04,490,DE,Berlin,1035,Électronique,Écouteurs,13.32,1.0,ÉTÉ2025,crypto,mobile,app,google,0,,paid,,13.32,,,Écouteurs 16,Électronique,2025-08,13.32
tKTkJc1scYAr,2025-07-17 14:31:34,1175,FR,Toulouse,1158,Mode,Vêtements,13.52,1.0,BLACKFRIDAY,interac,mobile,marketplace,newsletter,0,,paid,,13.52,,,Vêtements 19,Mode,2025-07,13.52
zENpOSWe9DyF,2025-07-24 21:49:35,56,MA,Marrakech,1161,Mode,Accessoires,36.36,3.0,ÉTÉ2025,paypal,mobile,web,newsletter,0,,pending,"Nom cont… ""Dupont, Jean""",109.08,,,Accessoires 2,Mode,2025-07,109.08
fPtFhYXgexjX,2025-08-22 22:21:08,1932,FR,Marseille,1233,Sport,Randonnée,17.71,1.0,WELCOME10,crypto,desktop,web,newsletter,0,,paid,"Paiement réessayé, ok",17.71,,,Randonnée 14,Sport,2025-08,17.71
BoxPGI7temaA,2025-09-19 00:15:43,28,MA,Marrakech,1147,Mode,Vêtements,12.68,5.0,,interac,mobile,web,tiktok,0,,paid,,63.4,,,Vêtements 8,Mode,2025-09,63.4
85JSADNhNSWT,2025-10-04 05:58:04,136,CA,Toronto,1065,Maison,Cuisine,48.33,1.0,,interac,tablet,web,direct,0,,paid,,48.33,,,Cuisine 6,Maison,2025-10,48.33
DXXcp9TPdYsf,2025-09-22 12:57:22,1236,US,Seattle,1240,Beauté,Soins,16.51,3.0,STUDENT,card,mobile,web,direct,0,,paid,,49.53,,,Soins 1,Beauté,2025-09,49.53
DMOAXCmlgkUd,2025-07-08 01:16:15,382,CA,Vancouver,1280,Beauté,Cheveux,25.97,1.0,STUDENT,interac,desktop,web,instagram,0,,paid,,25.97,,,Cheveux 1,Beauté,2025-07,25.97
VaEEYLEnOCBL,2025-09-30 01:26:19,634,MA,Casablanca,1115,Maison,Literie,28.52,5.0,WELCOME10,card,mobile,web,newsletter,0,,paid,,142.6,,,Literie 16,Maison,2025-09,142.6
U2j9vS89SqKr,2025-07-31 03:48:44,1017,CA,Vancouver,1080,Maison,Décoration,21.98,1.0,,crypto,desktop,web,newsletter,0,,paid,,21.98,,,Décoration 1,Maison,2025-07,21.98
eTbc3APwaVH4,2025-09-13 01:40:11,1355,DE,Hamburg,1080,Maison,Décoration,21.98,1.0,WELCOME10,interac,desktop,marketplace,friend,0,,paid,,21.98,,,Décoration 1,Maison,2025-09,21.98
NtlCNntehRm7,2025-09-10 02:12:48,1124,US,San Francisco,1161,Mode,Accessoires,36.36,5.0,,crypto,mobile,app,direct,0,,paid,"Promo appliquée, vérifier le cumul",181.8,,,Accessoires 2,Mode,2025-09,181.8
k8ZEN2tiSjqf,2025-07-27 11:38:47,1203,DE,Munich,1280,Beauté,Cheveux,25.97,1.0,BLACKFRIDAY,paypal,mobile,web,friend,0,,paid,,25.97,,,Cheveux 1,Beauté,2025-07,25.97
BWhsUmM45P8A,2025-09-19 14:29:58,1602,DE,Berlin,1094,Maison,Décoration,20.16,1.0,,crypto,tablet,marketplace,google,0,,paid,,20.16,,,Décoration 15,Maison,2025-09,20.16
9yM01T6NIXe2,2025-08-01 13:14:02,894,CA,Vancouver,1092,Maison,Décoration,17.27,3.0,,crypto,desktop,web,tiktok,0,,pending,,51.81,,,Décoration 13,Maison,2025-08,51.81
OyR2dILNl7Gz,2025-08-23 04:04:03,1085,FR,Paris,1253,Beauté,Soins,41.11,1.0,,crypto,desktop,marketplace,friend,0,,paid,,41.11,,,Soins 14,Beauté,2025-08,41.11
BJbWk8HzSNRx,2025-09-05 09:32:58,550,US,Boston,1146,Mode,Vêtements,13.22,1.0,,interac,mobile,web,google,0,,paid,,13.22,,,Vêtements 7,Mode,2025-09,13.22
czpaOxmDeZmu,2025-08-12 08:49:48,808,DE,Munich,1203,Sport,Cyclisme,41.55,1.0,,crypto,mobile,web,instagram,0,,paid,,41.55,,,Cyclisme 4,Sport,2025-08,41.55
0mkwj7G9wtUE,2025-10-06 11:30:52,1705,DE,Hamburg,1254,Beauté,Soins,11.48,1.0,STUDENT,interac,tablet,web,friend,0,,paid,,11.48,,,Soins 15,Beauté,2025-10,11.48
giOJr1ylCqI0,2025-09-15 08:49:43,1407,US,Seattle,1191,Sport,Fitness,37.64,3.0,WELCOME10,paypal,mobile,app,direct,0,,refunded,,112.92,,,Fitness 12,Sport,2025-09,112.92
kcTWn4kPhPYv,2025-07-18 06:26:36,397,MA,Rabat,1144,Mode,Vêtements,27.94,1.0,,paypal,desktop,web,tiktok,0,,paid,,27.94,,,Vêtements 5,Mode,2025-07,27.94
ySvuz7fv0L6b,2025-08-06 05:39:29,825,CA,Montréal,1071,Maison,Cuisine,52.93,1.0,,card,desktop,web,friend,0,,paid,,52.93,,,Cuisine 12,Maison,2025-08,52.93
y9RqdJbSDLCk,2025-07-25 00:37:19,673,CA,Toronto,1200,Sport,Cyclisme,29.34,2.0,,card,mobile,app,tiktok,0,,paid,"Promo appliquée, vérifier le cumul",58.68,,,Cyclisme 1,Sport,2025-07,58.68
qJ8P7ClbVUqm,2025-08-15 23:21:56,491,FR,Paris,1177,Mode,Accessoires,50.74,1.0,BLACKFRIDAY,crypto,mobile,web,google,0,,paid,,50.74,,,Accessoires 18,Mode,2025-08,50.74
TIsyhiIrAL7t,2025-08-31 08:38:16,1720,MA,Casablanca,1079,Maison,Cuisine,9.08,3.0,STUDENT,interac,tablet,marketplace,tiktok,0,,failed,,27.240000000000002,,,Cuisine 20,Maison,2025-08,27.240000000000002
oUMcuv7luX4m,2025-09-24 04:45:17,1312,FR,Paris,1003,Électronique,Téléphones,52.54,1.0,ÉTÉ2025,interac,mobile,app,tiktok,0,,paid,,52.54,,,Téléphones 4,Électronique,2025-09,52.54
lsosEXywDfg2,2025-07-23 01:26:44,539,DE,Munich,1235,Sport,Randonnée,33.68,1.0,ÉTÉ2025,interac,mobile,web,direct,0,,paid,,33.68,,,Randonnée 16,Sport,2025-07,33.68
IuNslkC5HZNE,2025-09-21 13:17:26,1512,FR,Paris,1261,Beauté,Maquillage,23.81,1.0,,interac,mobile,web,newsletter,0,,paid,,23.81,,,Maquillage 2,Beauté,2025-09,23.81
xh4pHVhssnTJ,2025-09-25 16:57:14,359,CA,Toronto,1282,Beauté,Cheveux,54.22,1.0,BLACKFRIDAY,paypal,mobile,web,friend,0,,paid,,54.22,,,Cheveux 3,Beauté,2025-09,54.22
RHWE9AZmSxtM,2025-09-28 11:12:58,781,DE,Munich,1216,Sport,Cyclisme,16.67,1.0,STUDENT,card,tablet,app,google,0,,paid,,16.67,,,Cyclisme 17,Sport,2025-09,16.67
sRhcds6NUgar,2025-08-31 08:46:37,1557,DE,Hamburg,1250,Beauté,Soins,13.06,1.0,,card,desktop,boutique,google,0,,paid,,13.06,,,Soins 11,Beauté,2025-08,13.06
dZEHNJSsavJl,2025-10-02 19:33:27,228,FR,Lyon,1166,Mode,Accessoires,37.0,1.0,,card,desktop,web,tiktok,0,,paid,,37.0,,,Accessoires 7,Mode,2025-10,37.0
WwYBAWLvYpUk,2025-07-02 07:01:14,405,FR,Toulouse,1272,Beauté,Maquillage,43.89,1.0,WELCOME10,card,desktop,boutique,newsletter,0,,paid,,43.89,,,Maquillage 13,Beauté,2025-07,43.89
DLDQSxkZWw6p,2025-07-06 02:37:13,1613,MA,Rabat,1021,Électronique,Écouteurs,21.91,1.0,STUDENT,paypal,desktop,marketplace,tiktok,0,,paid,,21.91,,,Écouteurs 2,Électronique,2025-07,21.91
8Y1QoXROTgLr,2025-10-03 15:57:16,1133,FR,Marseille,1197,Sport,Fitness,26.49,3.0,,interac,desktop,web,instagram,0,,paid,,79.47,,,Fitness 18,Sport,2025-10,79.47
zLI9ERbFYxlA,2025-08-31 04:46:33,1246,US,San Francisco,1243,Beauté,Soins,37.82,1.0,BLACKFRIDAY,crypto,mobile,web,instagram,0,,paid,,37.82,,,Soins 4,Beauté,2025-08,37.82
WNmQWa8z8ZQH,2025-07-28 00:11:10,1772,CA,Montréal,1047,Électronique,Tablettes,41.62,1.0,,interac,desktop,web,instagram,0,,paid,,41.62,,,Tablettes 8,Électronique,2025-07,41.62
ptnE8SaYuo6G,2025-08-16 09:12:38,472,FR,Toulouse,1203,Sport,Cyclisme,41.55,5.0,STUDENT,paypal,tablet,web,newsletter,0,,paid,,207.75,,,Cyclisme 4,Sport,2025-08,207.75
Fgg7rUQtu2w2,2025-07-04 00:29:08,975,FR,Marseille,1088,Maison,Décoration,18.82,1.0,,card,desktop,web,newsletter,0,,pending,,18.82,,,Décoration 9,Maison,2025-07,18.82
JhcuJpZDXRgk,2025-09-06 05:20:36,1844,FR,Paris,1132,Mode,Chaussures,14.42,5.0,ÉTÉ2025,card,mobile,web,tiktok,0,,paid,⚠️ Douanes: formulaire requis,72.1,,,Chaussures 13,Mode,2025-09,72.1
hHXhttQ9mMd0,2025-07-03 05:18:48,1179,US,Seattle,1044,Électronique,Tablettes,11.71,1.0,,card,desktop,web,newsletter,0,,paid,"Adresse incomplète, revoir 📦",11.71,,,Tablettes 5,Électronique,2025-07,11.71
tbXMfRZ02bRg,2025-07-07 23:22:45,105,CA,Vancouver,1206,Sport,Cyclisme,31.74,1.0,,card,desktop,marketplace,friend,0,,pending,,31.74,,,Cyclisme 7,Sport,2025-07,31.74
zFem7D5CDiDo,2025-10-04 19:38:55,361,CA,Gatineau,1021,Électronique,Écouteurs,21.91,3.0,WELCOME10,interac,mobile,web,direct,0,,refunded,,65.73,,,Écouteurs 2,Électronique,2025-10,65.73
WmHFgKxBvIWP,2025-09-18 03:48:14,423,MA,Casablanca,1205,Sport,Cyclisme,15.35,1.0,WELCOME10,interac,mobile,web,newsletter,0,,paid,,15.35,,,Cyclisme 6,Sport,2025-09,15.35
4n91f8Q6PTaL,2025-09-20 13:33:04,715,DE,Munich,1076,Maison,Cuisine,25.62,3.0,,paypal,desktop,app,friend,0,,paid,,76.86,,,Cuisine 17,Maison,2025-09,76.86
CMPInOyFXRQc,2025-10-09 05:18:43,514,US,New York,1241,Beauté,Soins,23.16,1.0,,paypal,mobile,app,tiktok,0,,paid,,23.16,,,Soins 2,Beauté,2025-10,23.16
eF9qDudrY9F8,2025-07-22 14:02:09,1512,FR,Marseille,1057,Électronique,Tablettes,21.02,1.0,,card,mobile,app,direct,0,,paid,,21.02,,,Tablettes 18,Électronique,2025-07,21.02
w9ObpelWuvut,2025-08-09 03:10:16,1991,FR,Toulouse,1222,Sport,Randonnée,34.57,1.0,,card,mobile,web,newsletter,0,,paid,,34.57,,,Randonnée 3,Sport,2025-08,34.57
jbdL91oP6OYX,2025-10-08 08:48:15,1979,DE,Munich,1013,Électronique,Téléphones,9.42,3.0,,card,mobile,web,google,0,,paid,,28.259999999999998,,,Téléphones 14,Électronique,2025-10,28.259999999999998
CjRct9AhaWzY,2025-08-21 23:01:06,420,DE,Hamburg,1028,Électronique,Écouteurs,18.17,1.0,STUDENT,crypto,mobile,web,friend,0,,paid,,18.17,,,Écouteurs 9,Électronique,2025-08,18.17
HtvhVt1lBgeo,2025-09-28 22:27:10,409,FR,Paris,1233,Sport,Randonnée,17.71,1.0,,interac,tablet,web,friend,0,,paid,,17.71,,,Randonnée 14,Sport,2025-09,17.71
QA6rNHRJ7tsU,2025-08-11 10:03:42,778,FR,Paris,1272,Beauté,Maquillage,43.89,1.0,,interac,mobile,boutique,google,0,,paid,,43.89,,,Maquillage 13,Beauté,2025-08,43.89
lquCu2r6AZDU,2025-08-29 04:39:34,56,MA,Marrakech,1181,Sport,Fitness,15.98,5.0,ÉTÉ2025,card,mobile,app,friend,0,,paid,,79.9,,,Fitness 2,Sport,2025-08,79.9
vPyMSbcqrhQr,2025-08-02 09:26:37,1574,US,New York,1013,Électronique,Téléphones,9.42,2.0,ÉTÉ2025,card,mobile,boutique,direct,0,,paid,,18.84,,,Téléphones 14,Électronique,2025-08,18.84
wtfIzJQ0GOHt,2025-07-27 13:37:04,1201,FR,Toulouse,1017,Électronique,Téléphones,28.71,1.0,WELCOME10,interac,tablet,boutique,newsletter,0,,paid,,28.71,,,Téléphones 18,Électronique,2025-07,28.71
cAEdoLnx1Ep0,2025-09-17 23:46:39,1934,MA,Casablanca,1194,Sport,Fitness,26.75,1.0,,paypal,tablet,web,tiktok,0,,pending,,26.75,,,Fitness 15,Sport,2025-09,26.75
0bhXUW7tW2OA,2025-07-20 18:30:50,1937,US,New York,1046,Électronique,Tablettes,19.49,1.0,STUDENT,paypal,mobile,app,newsletter,0,,refunded,,19.49,,,Tablettes 7,Électronique,2025-07,19.49
WWaYhed6PItH,2025-10-02 13:40:24,1351,CA,Ottawa,1234,Sport,Randonnée,71.66,1.0,STUDENT,paypal,mobile,app,instagram,0,,paid,,71.66,,,Randonnée 15,Sport,2025-10,71.66
Oo6WBYHNUcvS,2025-08-11 21:51:06,1893,FR,Paris,1055,Électronique,Tablettes,39.08,1.0,,paypal,mobile,marketplace,tiktok,0,,pending,,39.08,,,Tablettes 16,Électronique,2025-08,39.08
fJHS64k2k59y,2025-09-09 05:26:41,1915,MA,Casablanca,1224,Sport,Randonnée,19.38,3.0,,paypal,tablet,app,newsletter,0,,paid,,58.14,,,Randonnée 5,Sport,2025-09,58.14
XF6xxV4JOj1l,2025-07-12 08:20:44,1329,US,New York,1258,Beauté,Soins,30.63,5.0,ÉTÉ2025,crypto,mobile,web,tiktok,0,,refunded,"Livraison express, signature exigée",153.15,,,Soins 19,Beauté,2025-07,153.15
BpKEx6tAQ726,2025-08-10 10:53:37,1510,MA,Marrakech,1273,Beauté,Maquillage,24.66,5.0,STUDENT,crypto,mobile,web,newsletter,0,,pending,"Adresse incomplète, revoir 📦",123.3,,,Maquillage 14,Beauté,2025-08,123.3
